;Seg;peña;web;;X;;Instagram;;Facebook;;Youtube;;TikTok;;Bluesky;;Feeberse;
1;15935;siareiros.net;OK;https://siareiros.net/;2920;siareiros;5109;siareiros;5361;https://www.facebook.com/siareirospuntonet/;722;https://www.youtube.com/@siareiros;1687;https://www.tiktok.com/@siareiros;74;https://bsky.app/profile/siareiros.bsky.social;62;
2;12903;Tropas de Breogan;;;5314;tropasdebreogan;7589;tropasdebreogan;0;;0;;0;;0;;0;
3;8882;Carcamans-A Illa de Arousa;;;3520;CarcamansCeles;2092;carcamans_oficial;3257;https://www.facebook.com/Carcamans;0;;0;;13;https://bsky.app/profile/carcamans.bsky.social;0;
4;7754;Irmandiños;;;6054;irmandinos1923;1690;irmandinos1923;0;;10;https://www.youtube.com/@PenaIrmandinos;0;;0;;0;
5;6833;Colectivo Nós;OK;https://colectivonos.gal/;3143;1923nos;1715;1923nos;1893;https://www.facebook.com/ColectivoNOS;82;https://www.youtube.com/@colectivonos5553;0;;0;;0;
6;5614;Centolos Celestes;;;4825;centolosdocelta;685;centolos_celestes;78;https://www.facebook.com/centolosdocelta;26;https://www.youtube.com/@CentolosCelestes;0;;0;;0;
7;5348;Morriña-Madrid;;;3564;morrinhaceleste;339;pena.morrinaceleste;1445;https://www.facebook.com/morrinha.celeste;0;;0;;0;;0;
8;4312;Comando Celta;;;0;xx no tiene;850;comando_celta1987;3462;https://www.facebook.com/comandocelta;0;;0;;0;;0;
9;3733;Merlegos Celestes-Santiago;;;1647;merlegosrccv;924;merlegoscelestes;1153;https://www.facebook.com/merlegosRCCV;9;https://www.youtube.com/@merlegoscelestes;0;;0;;0;
10;3484;Teixugos-Aldán;;;965;teixugos;1147;teixugos;499;https://www.facebook.com/TEIXUGOS2013;552;;321;https://www.tiktok.com/@teixugos;0;;0;
11;3132;Sempre Pahíño;;;2524;semprepahino;146;_semprepahino_;462;;0;;0;;0;;0;
12;3109;Alvelo-Ribeira;;;673;penhaalvelo;0;xx no tiene;2436;https://www.facebook.com/penaceltista.alvelo?locale=es_ES;0;;0;;0;;0;
13;3089;BlauCel-Barcelona;;;1962;pc_blaucel;1127;pc_blaucel;0;;0;;0;;0;;0;
14;3031;Le-chuzas;;;1549;le_chuzas;1059;lechuzascelestes;423;https://www.facebook.com/p/Lechuzas-Celestes-100063006261935/;0;;0;;0;;0;
15;2900;Iago Aspas-Moaña;;;1994;penha_aspas10;0;xx no tiene;906;https://www.facebook.com/penhaiagoaspas;0;;0;;0;;0;
16;2824;Terra Celeste;OK;http://pcterraceleste.blogspot.com/;2771;terraceleste1;0;pcterraceleste;0;https://www.facebook.com/terraceleste/;0;;0;;53;https://bsky.app/profile/terraceleste1.bsky.social;0;
17;2735;Norte Celeste-Coruña;OK;https://www.norteceleste.es/;1959;norteceleste;342;norteceleste;434;https://www.facebook.com/p/Pe%C3%B1a-Celtista-Norte-Celeste-100067225602940/;0;;0;;0;;0;
18;2691;Bueu Celeste;;;1138;bueuceleste;793;bueucelesteoficial;760;https://www.facebook.com/PenaBueuCeleste;0;;0;;0;;0;
19;2636;Siareiros Dezaos-Lalín;;;1288;sdezaos;795;sdezaos;500;;3;https://www.youtube.com/@penaceltistasiareirosdezao3485;0;;50;https://bsky.app/profile/sdezaos.bsky.social;0;
20;2526;London Celtas-Londres;;;1076;londonceltas;668;london.celtas;781;https://www.facebook.com/LondonCeltas;1;https://www.youtube.com/@londonceltas4791;0;;0;;0;
21;2505;Arribada Celeste-Baiona;;;1258;arribadaceleste;231;arribadaceleste;1016;https://www.facebook.com/arribada.celeste;0;;0;;0;;0;
22;2347;Afouteza;;;1437;afouteza;367;afoutezaceltadevigo;543;https://www.facebook.com/p/Pe%C3%B1a-Afouteza-Celta-de-Vigo-100063629520922/;0;;0;;0;;0;
23;2309;Zeru Urdin-Bilbao;;;1489;zeru_urdin;320;zeru__urdin;500;;0;;0;;0;;0;
24;2304;A Tapa Celeste;OK;https://atapaceleste.gal/;834;celestetapa;758;atapaceleste;500;;77;https://www.youtube.com/@ATapaCeleste;135;https://www.tiktok.com/@tapaceleste;0;;0;
25;2209;Baixo Miño-A Guarda;;;1258;pcbaixominho;352;penaceltabaixomino;598;https://www.facebook.com/p/Pe%C3%B1a-Celtista-Baixo-Mi%C3%B1o-100054581163695/;1;https://www.youtube.com/@penaceltistabaixomino5872;0;;0;;0;
26;2151;Mi bendita condena;;;1245;benditacondena;622;benditacondena;272;https://www.facebook.com/benditacondena/;12;https://www.youtube.com/@mibenditacondena3681;0;;0;;0;
27;2065;Celtabirras;;;672;celtabirras;733;celtabirras;660;https://www.facebook.com/profile.php?id=100064359142768;0;;0;;0;;0;
28;2047;Celtas do Verdugo-Pontecandelas;;;692;celtasdoverdugo;549;celtas_do_verdugo;806;https://www.facebook.com/celtasdoverdugo;0;;0;;0;;0;
29;1984;Fora de Xogo;;;868;foradexogo1923;1107;foradexogo1923;0;;0;;9;https://www.tiktok.com/@pcforadexogo;0;;0;
30;1868;Boinas Celestes;;;804;boinascelestes;1064;boinascelestes;0;;0;;0;;0;;0;
31;1837;As Guerreiras;OK;https://asguerreirasceltas.com/;317;somosdasceltas;1520;asguerreirasceltas;0;;0;;0;;0;;0;
32;1758;Casco Vello;;;721;cascovellopc;1037;cascovellopc;0;;0;;0;;0;;0;
33;1722;Siareiros do Fortuna;;;193;sdf_1923;1005;siareirosdofortuna_1923;0;;0;;524;https://www.tiktok.com/@sdofortuna1923;0;;0;
34;1679;Camiño Celeste-Milladoiro;;;741;milladoirocelta;256;ocaminoceleste;682;https://www.facebook.com/profile.php?id=100068333184560;0;;0;;0;;0;
35;1651;Sarria;;;830;sarriaceltista;321;sarria_celtista;500;;0;;0;;0;;0;
36;1615;Mallorca;;;1011;balearsceltista;0;xx no tiene;604;https://www.facebook.com/p/Pe%C3%B1a-Celtista-de-Mallorca-100063690355376/;0;;0;;0;;0;
37;1609;Alento Celeste;;;1051;alentoceleste;58;celestealento;500;;0;;0;;0;;0;
38;1587;Lenda Celeste-Ponteareas;;;459;lendaceleste_dr;699;lendaceleste_dr;429;https://www.facebook.com/p/Pe%C3%B1a-Lenda-Celeste-100064496027370/;0;;0;;0;;0;
39;1493;Jorge Otero-Nigrán;;;993;pceltistajotero;0;xx no tiene;500;;0;;0;;0;;0;
40;1479;Cigarrón Celeste-Verín;;;779;cigarronceleste;167;cigarron_celeste_verin;533;https://www.facebook.com/p/Pe%C3%B1a-Celtista-Cigarr%C3%B3n-Celeste-100071750712625/;0;;0;;0;;0;
41;1331;Arbo;;;838;pcdearbo;0;xx no tiene;493;https://www.facebook.com/pena.celtistadearbo.7;0;;0;;0;;0;
42;1296;Tolemia Celeste;;;251;tolemiaceleste;511;tolemiaceleste;0;;0;;534;https://www.tiktok.com/@tolemia.celeste;0;;0;
43;1292;Tudense Evaristo-Tui;;;0;xx no tiene;792;penhaceltistatudenseevaristo;500;;0;;0;;0;;0;
44;1279;Embruxo Celeste-Vilagarcía;;;0;xx no tiene;767;embruxoceleste;512;https://www.facebook.com/p/Embruxo-Celeste-100064679707526/;0;;0;;0;;0;
45;1232;Heredeirxs do Celta;;;0;xx no tiene;732;heredeirxsdocelta;500;;0;;0;;0;;0;
46;1221;Allariz Celeste - Allariz;;;589;allarizceleste;279;allarizceleste;353;https://www.facebook.com/allarizceleste/;0;;0;;0;;0;
47;1218;Sempre co Celta;;;0;xx no tiene;237;sempre_co_celta;981;https://www.facebook.com/PenaSempreCoCelta;0;;0;;0;;0;
48;1207;Alcoyana Oscar Prieto-Alcoy;;;469;celtaalcoyana;0;xx no tiene;738;https://www.facebook.com/celtistaalcoyanaoscarprieto;0;;0;;0;;0;
49;1186;Os Tabernícolas;;;378;ostabernicolas;0;xx no tiene;808;https://www.facebook.com/penhaceltistasostabernicolas;0;;0;;0;;0;
50;1151;Celtílikos;;;1053;celtilikos;98;celtilikos;0;;0;;0;;0;;0;
51;1124;Burgalegos-Burgos;;;64;burgalegos;433;burgalegos;621;https://www.facebook.com/profile.php?id=100064830275366;0;;0;;6;https://bsky.app/profile/burgalegos.bsky.social;0;
52;1124;Viveiro Celeste - Viveiro;;;719;viveiroceleste;0;xx no tiene;405;https://www.facebook.com/celtistasviveiro/;0;;0;;0;;0;
53;1114;La Previa;;;267;lapreviacelta;354;lapreviaceltista;489;https://www.facebook.com/lapreviaceltista;4;https://www.youtube.com/@penaceltistalaprevia1005;0;;0;;0;
54;1113;Sergio Alvarez-Catoira;;;156;peasergioalvar1;457;penaceltistasergioalvarez;500;;0;;0;;0;;0;
55;1092;Os Zoqueiros-Porriño;;;0;xx no tiene;592;zoqueiros;500;;0;;0;;0;;0;
56;1074;Celta do Miño - Salvaterra;;;300;celtadominho;187;celtadominho;587;https://www.facebook.com/penhaceltadominho;0;;0;;0;;0;
57;1022;Termas celestes-Ourense;;;3;termascelestes;501;termascelestesoficial;518;https://www.facebook.com/celtismourensan/;0;;0;;0;;0;
58;977;Porto do son;;;0;xx no tiene;0;xx no tiene;977;https://www.facebook.com/profile.php?id=100057142673352;0;;0;;0;;0;
59;936;Cuadrilla Pepa a Loba-Muros;;;71;pepaloba1993;410;cuadrillapepaloba;455;https://www.facebook.com/cuadrillapepaloba;0;;0;;0;;0;
60;920;A Mao Negra-Cualedro;;;920;penhamaonegra;0;xx no tiene;0;;0;;0;;0;;0;
61;843;Movida Celeste;;;270;movida_celeste;573;movidaceleste;0;;0;;0;;0;;0;
62;807;Oliveira de Teis;;;153;oliveiradeteis;654;oliveiradeteis;0;;0;;0;;0;;0;
63;771;Ribeiro-Ribadavia;;;0;xx no tiene;187;penhaceltista_doribeiro;500;;0;;84;https://www.tiktok.com/@pea.celtista.do.r;0;;0;
64;746;Sobran os motivos;;;0;xx no tiene;154;penadoceltasobranosmotivos;592;https://www.facebook.com/Sobranosmotivos/;0;;0;;0;;0;
65;707;Corvos Celestes-Salceda de Caselas;;;93;corvos_celestes;612;corvos_celestes;0;;0;;2;https://www.tiktok.com/@corvos.celestes;0;;0;
66;687;Celtas de Trasancos-FerrolTerra;;;39;celtastrasancos;171;celtistastrasancos;477;https://www.facebook.com/profile.php?id=61566165104521;0;;0;;0;;0;
67;659;Ardán Celeste-Marín;;;0;xx no tiene;159;ardan_celeste;500;;0;;0;;0;;0;
